epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2871.07,1.14934,0.44013,0.79403,1,0.93303,0.99298,0.7072,0.93568,0.41611,0.81579,0.001684,0.001684,0.001684
86,2897.11,1.12333,0.44017,0.79729,0.99635,0.89174,0.99223,0.72624,0.86716,0.3945,0.81514,0.001585,0.001585,0.001585
87,2923.28,1.0874,0.42294,0.79106,1,0.9187,0.9936,0.72361,0.9136,0.38572,0.81497,0.001486,0.001486,0.001486
88,2949.28,1.10583,0.41746,0.78963,1,0.93668,0.99362,0.72218,0.89111,0.36573,0.81467,0.001387,0.001387,0.001387
89,2975.27,1.08282,0.40213,0.78601,1,0.92113,0.99334,0.73667,0.88645,0.3529,0.81383,0.001288,0.001288,0.001288
90,3001.34,1.06343,0.40039,0.78823,1,0.9178,0.99452,0.7328,0.88316,0.3596,0.81403,0.001189,0.001189,0.001189
91,6326.06,0.94862,0.37017,0.78345,0.95846,0.98693,0.99419,0.73128,0.8823,0.35714,0.81389,0.00109,0.00109,0.00109
92,6346.15,0.93448,0.36396,0.7816,1,0.91463,0.99425,0.73151,0.89484,0.37549,0.81398,0.000991,0.000991,0.000991
93,6374.68,0.9396,0.36087,0.78506,0.99635,0.89324,0.99408,0.72662,0.87321,0.33886,0.81412,0.000892,0.000892,0.000892
94,6440.08,0.89077,0.3364,0.78697,0.99648,0.92524,0.99382,0.74357,0.84253,0.34868,0.81405,0.000793,0.000793,0.000793
95,6494.7,0.88028,0.35222,0.78479,0.99646,0.91917,0.99379,0.7415,0.8422,0.35797,0.81279,0.000694,0.000694,0.000694
96,6538.8,0.88676,0.3375,0.78317,1,0.91098,0.99403,0.75845,0.76969,0.32834,0.81285,0.000595,0.000595,0.000595
97,6569.07,0.86566,0.34704,0.77041,0.90801,1,0.99474,0.76163,0.77625,0.33041,0.81335,0.000496,0.000496,0.000496
98,6593.59,0.83942,0.3315,0.77795,0.99656,0.94555,0.99451,0.77067,0.75937,0.32276,0.81265,0.000397,0.000397,0.000397
99,6617.6,0.83674,0.31096,0.78519,0.93925,0.9902,0.9944,0.76612,0.79857,0.32748,0.81303,0.000298,0.000298,0.000298
100,6641.38,0.83282,0.32412,0.79132,0.91317,0.99673,0.99467,0.76198,0.78263,0.3328,0.81288,0.000199,0.000199,0.000199
